priority,organization,organization_type,region,likely_contact_role,primary_grant_fit,why_openplan_fit,status,next_step,notes
1,Tehama County Transportation Commission,County transportation commission,NorCal,RTPA Executive Director / Planning Manager,"ATP, SS4A, PROTECT",Known rural implementation context and prior technical planning exposure,draft,identify named contact + send email #1,Confirm formal org name + current leadership
2,Plumas County Transportation Commission,County transportation commission,NorCal,RTPA Executive Director / Senior Planner,"ATP, SS4A",Small team and recurring grant support needs,draft,identify named contact + send email #1,Confirm procurement constraints
3,Sierra County Transportation Commission,County transportation commission,NorCal,Transportation Planner / Executive Director,"ATP, PROTECT",Rural corridor planning needs and constrained analytic capacity,draft,identify named contact + send email #1,Verify active corridor priorities
4,Del Norte Local Transportation Commission,County transportation commission,NorCal,Executive Director / Program Manager,"ATP, SS4A, RAISE",Likely fit for fast corridor analysis + grant narrative support,draft,identify named contact + send email #1,Confirm legal agency naming convention
5,Trinity County transportation planning lead,County transportation lead,NorCal,Public Works Director / Planning Lead,"SS4A, PROTECT",Potential fit where consultant dependence is high,draft,identify named contact + send email #1,Need exact office/agency owner
6,Colusa County transportation planning lead,County transportation lead,NorCal,Transportation Planner / Public Works,"ATP, SS4A",Likely need for repeatable grant-cycle analysis outputs,draft,identify named contact + send email #1,Need exact office/agency owner
7,Calaveras County transportation planning lead,County transportation lead,NorCal,Transportation Planner / Public Works,"ATP, SS4A",Strong fit for corridor + equity + safety package,draft,identify named contact + send email #1,Confirm if under CTC/LTC structure
8,Siskiyou County transportation planning lead,County transportation lead,NorCal,RTPA Planner / Active Transportation Lead,"ATP, PROTECT",Countywide ATP history suggests strong use-case alignment,draft,identify named contact + send email #1,Confirm current ATP program timing
9,Tolowa Dee-ni' Nation (transportation planning),Tribal government,NorCal,Tribal Transportation Program Manager,"RAISE, PROTECT, tribal transportation grants",OpenPlan can reduce analysis burden and accelerate scoped grant support,draft,identify named contact + send email #1,Use culturally respectful outreach language
10,Blue Lake Rancheria (transportation planning),Tribal government,NorCal,Tribal Planning / Transportation Lead,"RAISE, PROTECT, tribal transportation grants",Prior transportation planning context suggests pilot readiness,draft,identify named contact + send email #1,Confirm current project priorities and timeline
